"filename", "language", "JavaScript", "CSS", "TypeScript", "HTML", "XML", "JSON", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/Users/robertchun39/repos/personal-project/hoorirubi-react/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 18, 0, 0, 7, 25
"/Users/robertchun39/repos/personal-project/hoorirubi-react/jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 12, 2, 0, 14
"/Users/robertchun39/repos/personal-project/hoorirubi-react/package-lock.json", "JSON", 0, 0, 0, 0, 0, 22345, 0, 0, 0, 1, 22346
"/Users/robertchun39/repos/personal-project/hoorirubi-react/package.json", "JSON", 0, 0, 0, 0, 0, 12, 0, 0, 66, 0, 78
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/assets/img/logo.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/manifest.json", "JSON", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 52
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Background/config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Background/database.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 25, 8, 41
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Background/index.js", "JavaScript", 173, 0, 0, 0, 0, 0, 0, 0, 15, 27, 215
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Content/components/ReactComponent.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 14, 1, 15
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Content/components/ReactComponent.jsx", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 12
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Content/components/customElements/HolliText.js", "JavaScript", 372, 0, 0, 0, 0, 0, 0, 0, 20, 62, 454
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Content/components/customElements/HolliToolTip.js", "JavaScript", 221, 0, 0, 0, 0, 0, 0, 0, 1, 37, 259
