"filename", "language", "JavaScript", "JSON", "CSS", "HTML", "XML", "Markdown", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Options/components/WordCollectionPageBox.jsx", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 7, 3, 51
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Options/components/defaultRuby.style.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 0, 17
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Options/components/smallWord.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Options/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Options/index.html", "HTML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Options/index.jsx", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Options/theme.style.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Options/utils/Date.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Options/utils/countDate.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Options/utils/formatBytes.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"/Users/robertchun39/repos/personal-project/hoorirubi-react/src/pages/Options/utils/getDataFromDB.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
